"year","site_no","TP_Estimate","TP_Upper","TP_Lower"
2000,"usgs08164000",49686.9957737171,62109.95533381762,40230.915388541514
2001,"usgs08164000",185943.58302112075,238990.72142512893,146526.4718783186
2002,"usgs08164000",160198.67119179413,198084.0599329802,130622.51581384633
2003,"usgs08164000",87484.19339400646,106148.35612642404,72626.64217948735
2004,"usgs08164000",277248.47826400463,336566.33336613054,229754.58811071207
2005,"usgs08164000",86050.66442843562,102043.03977415402,72713.35435690284
2006,"usgs08164000",13009.246912739234,15392.504425970634,11004.527941476961
2007,"usgs08164000",240392.78215383334,290266.19952817005,199738.1670304681
2008,"usgs08164000",9250.698796679424,10745.812738470977,8008.863024188218
2009,"usgs08164000",71431.21495687206,89619.60191979469,57655.96829098426
2010,"usgs08164000",90094.71258319936,109783.23381023799,74950.17442507781
2011,"usgs08164000",5844.344432049348,6764.87436045058,5065.8651706485825
2012,"usgs08164000",24787.827888216594,29671.84931260015,20893.835704661153
2013,"usgs08164000",9373.831479121016,11439.366637653218,7727.876658439048
2014,"usgs08164000",13803.603909029587,17363.324804777843,11062.300700306905
2015,"usgs08164000",212403.43556637148,256705.8361915822,176951.20310972666
2016,"usgs08164000",98862.89661775732,119079.31710145452,82275.10523424705
2017,"usgs08164000",203770.91318259243,266001.3616309417,155270.6280417238
2018,"usgs08164000",71485.59441899479,88713.86529009689,57446.5807717019
2019,"usgs08164000",24946.004037670627,29681.326433909308,20949.969709115954
2020,"usgs08164000",17853.636953246052,22064.040449476714,14517.569396128547
2000,"lktexana_g",84876.50974890035,100161.97124048999,72403.40637052541
2001,"lktexana_g",234684.09484068974,274678.2632369446,201375.8315641959
2002,"lktexana_g",331192.54494272947,389087.61654410994,283575.1403061596
2003,"lktexana_g",101572.40512357774,116702.29798917098,88337.5321616923
2004,"lktexana_g",639659.579096971,745629.7211268732,546882.057454837
2005,"lktexana_g",137843.05368130634,158266.8275796542,119766.02640504052
2006,"lktexana_g",38633.60909638261,44699.26852939004,33161.402266175326
2007,"lktexana_g",354682.7126095631,416233.2228240267,301213.67696903896
2008,"lktexana_g",35640.32255474089,41603.00632789883,30746.209474633877
2009,"lktexana_g",80238.5223580494,93851.12540294499,68289.27054569472
2010,"lktexana_g",133001.74191175384,155866.40599774694,113237.85443484619
2011,"lktexana_g",1994.4305795910766,2318.2459602795557,1714.1920560754977
2012,"lktexana_g",28823.356222698392,33513.92523834548,24576.67113100392
2013,"lktexana_g",5767.004038781859,6734.866611713239,4908.571038442089
2014,"lktexana_g",42974.0074044539,50540.41704250288,36418.87630537275
2015,"lktexana_g",308091.0987501855,370871.10614086164,257322.4413095691
2016,"lktexana_g",147263.34683801632,173997.48745662931,123161.08643547897
2017,"lktexana_g",214817.09001790176,254570.26098467657,180163.34977644554
2018,"lktexana_g",84659.43767825988,101516.05522758017,70288.2515848614
2019,"lktexana_g",62036.488214619654,74253.81346029222,51604.51755440644
2020,"lktexana_g",52932.377282825975,64780.586086557014,42823.347077090315
2000,"usgs08164390",38559.58258715251,47337.556609303865,31035.59604596775
2001,"usgs08164390",102833.74340065215,123017.09394008978,85600.11597312009
2002,"usgs08164390",124484.84828029934,149740.19719660672,104360.22637988903
2003,"usgs08164390",47069.80824023371,55883.6140093491,39855.26409272969
2004,"usgs08164390",173839.45360839472,211048.96244262386,142704.04787377422
2005,"usgs08164390",37952.71789601863,46059.08025593738,31103.356243154063
2006,"usgs08164390",7744.152902000301,9313.252750982167,6441.45856951263
2007,"usgs08164390",112039.28873345742,136891.12047736422,92003.05867821744
2008,"usgs08164390",8887.28894318133,10502.557204898392,7543.297421280628
2009,"usgs08164390",61521.39735551113,73535.84656728616,52403.67933348116
2010,"usgs08164390",46304.982709196265,54291.82595285855,39826.817376799285
2011,"usgs08164390",2957.531046903423,3392.0986466239306,2579.056592803342
2012,"usgs08164390",42339.059276559325,48478.80541832289,36708.55589862331
2013,"usgs08164390",9851.66976102897,11478.04431209705,8416.520934900744
2014,"usgs08164390",19906.778946874256,23720.898159148597,16693.050091586123
2015,"usgs08164390",140058.78380492903,167913.59755139917,115693.28119209554
2016,"usgs08164390",60986.85504567291,73554.88389366223,50721.13653877742
2017,"usgs08164390",73669.59449178848,88537.10103755337,61189.145257287186
2018,"usgs08164390",47833.87125898459,57476.80910864932,40126.76457239911
2019,"usgs08164390",27851.990185588085,33205.33917614839,23417.585168713947
2020,"usgs08164390",19861.72086102715,24373.379579954606,16273.180082240744
2000,"usgs08164450",69353.98706743067,136177.55631012886,34896.972996767916
2001,"usgs08164450",74994.95918020405,127404.57435968476,43068.757980516195
2002,"usgs08164450",101782.86216816655,174652.6443752434,56590.226047280776
2003,"usgs08164450",45410.60746187319,70118.29953290716,28270.454278582416
2004,"usgs08164450",458671.9996219078,740811.2442921475,267506.9054791657
2005,"usgs08164450",58607.12423191797,93953.35615475035,34947.654215296534
2006,"usgs08164450",13830.530018848192,23500.64185423644,7784.529510555442
2007,"usgs08164450",65982.65839134672,115694.3283715049,34597.68458966079
2008,"usgs08164450",8503.39543532043,13907.257548554206,5123.078461552547
2009,"usgs08164450",34171.260089957344,59248.499277127565,19209.84256564344
2010,"usgs08164450",30510.866701789382,49996.04247401788,18073.35282951143
2011,"usgs08164450",2670.2336334120864,3969.74267413049,1788.375097592478
2012,"usgs08164450",14724.505490406593,22610.831131735533,9338.380818674208
2013,"usgs08164450",14543.9280529421,23174.50064257068,9104.389793508026
2014,"usgs08164450",15042.335202584472,23590.80822623517,9376.58838783877
2015,"usgs08164450",103987.75714987385,168676.84137323775,62702.47993228236
2016,"usgs08164450",40456.00080057528,66225.51107977156,24388.016528916007
2017,"usgs08164450",76389.48392074677,132912.12712630825,43673.819873695895
2018,"usgs08164450",27381.37182188779,45212.65217945359,16041.312335993074
2019,"usgs08164450",19357.307996622527,32016.23713042875,11451.974929108426
2020,"usgs08164450",70417.88959122785,129878.2653087493,36644.96587080384
2000,"usgs08164503",167050.18675908862,284158.0099448339,101239.99789727712
2001,"usgs08164503",150211.36836009618,249302.87176403802,91261.48809393207
2002,"usgs08164503",149260.68580566798,271524.26824308,82015.28549156623
2003,"usgs08164503",61081.84010037182,100187.3645128455,37252.62144382277
2004,"usgs08164503",409971.8411743664,695328.9439652427,241487.37248176822
2005,"usgs08164503",236030.00496700197,384812.7794563052,147963.1355632358
2006,"usgs08164503",56259.89605645037,95998.85090429147,32795.48331078459
2007,"usgs08164503",252602.24698145821,415051.1822431908,151061.0629637
2008,"usgs08164503",81954.71759184613,119952.22608295745,56272.13648979663
2009,"usgs08164503",78856.17676166502,118477.66832854526,53291.59085428858
2010,"usgs08164503",96151.47502041125,155519.14835492437,58945.73548837343
2011,"usgs08164503",3900.589050846626,5700.775059315986,2677.085697391647
2012,"usgs08164503",91799.42523841647,141136.01653946377,60621.62244001878
2013,"usgs08164503",72351.6322176201,116525.08698806025,45528.21445519047
2014,"usgs08164503",113992.83726469077,171779.12153755355,75902.10102605914
2015,"usgs08164503",200534.41528795613,324080.74278240284,126155.95189524278
2016,"usgs08164503",77072.87721714773,125764.85920540446,47653.315644990435
2017,"usgs08164503",196463.3452150154,316192.51906586735,124890.18879491277
2018,"usgs08164503",34500.644388961235,56909.07056202118,20969.6841808722
2019,"usgs08164503",65268.44633646026,103556.29223847218,41661.19456400934
2020,"usgs08164503",89402.61449074619,152385.06800722654,53639.36625602687
2000,"usgs08164504",27497.595607681702,37511.33129026838,19686.422533868765
2001,"usgs08164504",42927.05088736341,58623.715248768276,30834.426205084714
2002,"usgs08164504",81504.63054136223,110701.225940859,58419.22606193987
2003,"usgs08164504",20942.78344638445,28182.252437886098,15236.0969708793
2004,"usgs08164504",112376.3833940762,152246.65551341706,81008.21713897817
2005,"usgs08164504",17112.667674460245,22952.58739194357,12579.57995352601
2006,"usgs08164504",5478.582297978862,7048.495433281993,4235.974119294914
2007,"usgs08164504",71768.45261829448,97474.85851167199,52174.44723513251
2008,"usgs08164504",16904.28084546575,22655.95168486244,12362.381852355278
2009,"usgs08164504",22575.779444011925,30219.352214231723,16565.074437838313
2010,"usgs08164504",35959.16588816585,48711.64127481646,26439.5644160564
2011,"usgs08164504",328.2514552316221,407.0670816137526,266.234850626082
2012,"usgs08164504",12326.373821073485,16597.650532140895,9094.301161152565
2013,"usgs08164504",5262.066589159174,6873.308605314702,3986.4344034572487
2014,"usgs08164504",9776.589728610019,13154.31714240904,7273.669627514205
2015,"usgs08164504",35650.568071490095,48705.43923623435,25984.969639390234
2016,"usgs08164504",21787.03336282379,29629.714262913938,15971.851864907305
2017,"usgs08164504",34222.75066073185,47224.241534876455,24515.02150231164
2018,"usgs08164504",13573.57094098806,18283.47552282685,9861.033440324773
2019,"usgs08164504",14450.369642558186,19875.976565058238,10399.536049616101
2020,"usgs08164504",22411.83730002182,31275.585382454236,15749.136087248846
